msec,force_x,force_y,force_z,force_T_x,force_T_y,force_T_z,foot_loc_x,foot_loc_y,foot_loc_z
57.999999,-0.000000,-0.081778,-0.000000,0.000000,0.000000,0.000000,0.000000,24.520000,0.000000
58.999999,-0.000000,-0.084549,0.000000,0.000000,0.000000,0.000000,0.000000,24.510000,0.000000
59.999999,-0.000000,-0.087291,0.000000,0.000000,0.000000,0.000000,0.000000,24.500000,0.000000
60.999999,-0.000000,-0.090005,0.000000,0.000000,0.000000,0.000000,0.000000,24.490000,0.000000
61.999999,-0.000000,-0.092694,0.000000,0.000000,0.000000,0.000000,0.000000,24.480000,0.000000
62.999999,-0.000000,-0.095360,0.000000,0.000000,0.000000,0.000000,0.000000,24.470000,0.000000
63.999999,0.000000,-0.099429,0.000000,0.000000,0.000000,0.000000,0.000000,24.460000,0.000000
64.999999,0.000000,-0.103275,0.000000,0.000000,0.000000,0.000000,0.000000,24.450000,0.000000
65.999999,0.000000,-0.106946,0.000000,0.000000,0.000000,0.000000,0.000000,24.440000,0.000000
66.999999,0.000000,-0.112075,0.000000,0.000000,0.000000,0.000000,0.000000,24.430000,0.000000
67.999998,0.000000,-0.116769,-0.000000,0.000000,0.000000,0.000000,0.000000,24.420000,0.000000
68.999998,0.000000,-0.121264,-0.000000,0.000000,0.000000,0.000000,0.000000,24.410000,0.000000
69.999998,-0.000000,-0.125635,0.000000,0.000000,0.000000,0.000000,0.000000,24.400000,0.000000
70.999998,0.000000,-0.129910,-0.000000,0.000000,0.000000,0.000000,0.000000,24.390000,0.000000
71.999998,0.000000,-0.134107,-0.000000,0.000000,0.000000,0.000000,0.000000,24.380000,0.000000
72.999998,-0.000000,-0.138237,-0.000000,0.000000,0.000000,0.000000,0.000000,24.370000,0.000000
73.999998,-0.000000,-0.142309,0.000000,0.000000,0.000000,0.000000,0.000000,24.360000,0.000000
74.999998,-0.000000,-0.146330,-0.000000,0.000000,0.000000,0.000000,0.000000,24.350000,0.000000
