% TRY3: sc black foot from soil surface 1cm down (in 10000ms), then 5mm up (in 5000ms) then down 2.5cm (in 25000ms), then up 5mm (in 5000ms), and finally up 4cm (in 1000ms)
% Created on:04.05.2011 - 14:12
% Control Thread cycle time: 40 msec
% log cycle time: 40 msec
% Joint angles in [rad], force in [N], and torque in [Nm]

% msec; Joint0; Joint1; Joint2; Joint3; Joint4; Joint5; Joint6; Fx; Fy; Fz; Tx; Ty; Tz; FTStatus; RTDSeq; FTSeq; Marker; currentPointID; X; Y; Z; Rx; Ry; Rz
1906; 0.000205298; 0.349339; -0.000190826; 1.21978; -0.000182121; 1.5764; 1.57088; 3.389974; -2.733894; 0.987991; -0.081365; -0.370674; 0.006005; 0; 1; 7108912; 0; -1; -388.091; 0.0122347; 436.953; 179.775; -0.0141959; 89.9967
1937; 0.000205298; 0.349339; -0.000190826; 1.21978; -0.000182121; 1.5764; 1.57088; 3.461151; -2.727028; 1.063819; -0.081479; -0.367849; 0.005991; 0; 1; 7109202; 0; -1; -388.091; 0.0122347; 436.953; 179.775; -0.0141959; 89.9967
1984; 0.000205298; 0.349355; -0.000190826; 1.21434; -0.000182121; 1.57969; 1.57089; 3.406706; -2.724191; 0.987826; -0.081468; -0.369732; 0.006134; 0; 1; 7109488; 0; -1; -388.457; 0.0121258; 438.451; 179.897; -0.0141866; 89.996
2031; 0.000205298; 0.349371; -0.000190826; 1.21203; -0.000182121; 1.58135; 1.57089; 3.394173; -2.731449; 0.965014; -0.081561; -0.370343; 0.006136; 0; 1; 7109774; 0; -1; -388.566; 0.0120804; 439.083; 179.934; -0.0141832; 89.996
2062; 0.000205298; 0.349371; -0.000190826; 1.21203; -0.000182121; 1.58135; 1.57089; 3.389929; -2.719247; 0.972480; -0.081852; -0.370031; 0.006005; 0; 1; 7110064; 0; -1; -388.566; 0.0120804; 439.083; 179.934; -0.0141832; 89.996
2094; 0.000205298; 0.349397; -0.000190826; 1.20998; -0.000182121; 1.58296; 1.57089; 3.406745; -2.733907; 0.957452; -0.081371; -0.369611; 0.006002; 0; 1; 7110348; 0; -1; -388.639; 0.0120403; 439.639; 179.957; -0.014181; 89.996
2141; 0.000205298; 0.349429; -0.000190826; 1.20802; -0.000182121; 1.58456; 1.57089; 3.389978; -2.719234; 0.964893; -0.081854; -0.370286; 0.006004; 0; 1; 7110636; 0; -1; -388.699; 0.0120018; 440.17; 179.976; -0.0141793; 89.996
2172; 0.000205298; 0.349476; -0.000190826; 1.20614; -0.000182121; 1.58611; 1.57089; 3.398305; -2.733898; 0.972685; -0.081368; -0.369762; 0.006004; 0; 1; 7110922; 0; -1; -388.754; 0.0119645; 440.671; 179.992; -0.014178; 89.9959
2219; 0.000205298; 0.349529; -0.000190826; 1.20453; -0.000182121; 1.58764; 1.57089; 3.377421; -2.731331; 0.942221; -0.081566; -0.370903; 0.006139; 0; 1; 7111209; 0; -1; -388.768; 0.0119331; 441.095; 179.994; -0.0141781; 89.9959
2266; 0.000205298; 0.349613; -0.000190826; 1.20289; -0.000182121; 1.5892; 1.57089; 3.410918; -2.731519; 0.980276; -0.081337; -0.369660; 0.006133; 0; 1; 7111496; 0; -1; -388.786; 0.0118999; 441.516; 179.994; -0.0141787; 89.9959
2297; 0.000205298; 0.349692; -0.000190826; 1.20109; -0.000182121; 1.5907; 1.57089; 3.398362; -2.733933; 0.972629; -0.081588; -0.370140; 0.006003; 0; 1; 7111783; 0; -1; -388.839; 0.0118631; 441.982; -179.994; -0.014178; 89.9959
2344; 0.000205298; 0.349871; -0.000190826; 1.19932; -0.000182121; 1.59228; 1.57089; 3.390001; -2.733837; 0.942191; -0.081595; -0.370295; 0.006005; 0; 1; 7112077; 0; -1; -388.887; 0.0118244; 442.401; -179.993; -0.0141794; 89.9959
2375; 0.000205298; 0.350144; -0.000190826; 1.19795; -0.000182121; 1.59379; 1.57089; 3.398354; -2.733885; 0.965097; -0.081370; -0.370016; 0.006004; 0; 1; 7112364; 0; -1; -388.894; 0.0117912; 442.675; 179.983; -0.0141842; 89.9959
2437; 0.000205298; 0.350602; -0.000190826; 1.19496; -0.000182121; 1.59647; 1.57089; 3.410915; -2.731536; 0.972559; -0.081559; -0.369531; 0.006133; 0; 1; 7112652; 0; -1; -388.993; 0.0117207; 443.324; 179.975; -0.0141891; 89.9958
2469; 0.000205298; 0.350771; -0.000190826; 1.19372; -0.000182121; 1.59762; 1.57089; 3.394151; -2.726605; 0.980179; -0.081718; -0.370212; 0.006004; 0; 1; 7112940; 0; -1; -389.023; 0.0116922; 443.6; 179.97; -0.014191; 89.9958
2500; 0.000205298; 0.351008; -0.000190826; 1.19185; -0.000182121; 1.59925; 1.57089; 3.410915; -2.731536; 0.972559; -0.081559; -0.369531; 0.006133; 0; 1; 7113226; 0; -1; -389.085; 0.0116493; 444.024; 179.971; -0.0141929; 89.9958
2547; 0.000205298; 0.351008; -0.000190826; 1.19185; -0.000182121; 1.59925; 1.57089; 3.385750; -2.726553; 0.972576; -0.081720; -0.370364; 0.006005; 0; 1; 7113513; 0; -1; -389.085; 0.0116493; 444.024; 179.971; -0.0141929; 89.9958
2594; 0.000205298; 0.351397; -0.000190826; 1.18805; -0.000182121; 1.60254; 1.5709; 3.406706; -2.733950; 0.980288; -0.081366; -0.369609; 0.006002; 0; 1; 7113799; 0; -1; -389.198; 0.0115641; 444.925; 179.978; -0.0141954; 89.9952
2625; 0.000205298; 0.351397; -0.000190826; 1.18805; -0.000182121; 1.60254; 1.5709; 3.364817; -2.723999; 0.949700; -0.081917; -0.371252; 0.006140; 0; 1; 7114086; 0; -1; -389.198; 0.0115641; 444.925; 179.978; -0.0141954; 89.9952
2656; 0.000205298; 0.351592; -0.000190826; 1.18661; -0.000182121; 1.60414; 1.5709; 3.406728; -2.738794; 0.965124; -0.081209; -0.369741; 0.006134; 0; 1; 7114374; 0; -1; -389.185; 0.0115316; 445.246; 179.957; -0.0141992; 89.9952
2703; 0.000205298; 0.351834; -0.000190826; 1.18491; -0.000182121; 1.60575; 1.5709; 3.406662; -2.724270; 0.995228; -0.081906; -0.369472; 0.006133; 0; 1; 7114661; 0; -1; -389.22; 0.0114918; 445.622; 179.948; -0.014202; 89.9951
2734; 0.000205298; 0.351997; -0.000190826; 1.18294; -0.000182121; 1.60736; 1.5709; 3.406755; -2.733937; 0.972700; -0.081368; -0.369864; 0.006002; 0; 1; 7114947; 0; -1; -389.288; 0.0114482; 446.102; 179.96; -0.0142019; 89.9951
2781; 0.000205298; 0.352176; -0.000190826; 1.18112; -0.000182121; 1.60902; 1.5709; 3.368956; -2.726497; 0.964902; -0.081942; -0.370794; 0.006008; 0; 1; 7115235; 0; -1; -389.322; 0.0114075; 446.536; 179.959; -0.0142032; 89.9951
2812; 0.000205298; 0.352287; -0.000190826; 1.17961; -0.000182121; 1.61072; 1.5709; 3.402514; -2.731484; 0.964957; -0.081561; -0.369684; 0.006134; 0; 1; 7115521; 0; -1; -389.29; 0.0113759; 446.91; 179.941; -0.0142056; 89.9951
2859; 0.000205298; 0.352361; -0.000190826; 1.17865; -0.000182121; 1.6117; 1.5709; 3.402489; -2.726658; 0.972404; -0.081940; -0.369424; 0.006002; 0; 1; 7115808; 0; -1; -389.286; 0.0113555; 447.145; 179.936; -0.0142066; 89.9951
2906; 0.000205298; 0.352587; -0.000190826; 1.17694; -0.000182121; 1.61324; 1.5709; 3.406635; -2.729127; 0.987651; -0.081746; -0.369349; 0.006265; 0; 1; 7116096; 0; -1; -389.33; 0.0113152; 447.529; 179.933; -0.0142086; 89.9951
2937; 0.000205298; 0.352697; -0.000190826; 1.17522; -0.000182121; 1.61474; 1.5709; 3.394101; -2.726618; 0.987766; -0.081717; -0.369957; 0.006004; 0; 1; 7116382; 0; -1; -389.364; 0.0112781; 447.961; 179.939; -0.0142084; 89.9951
2984; 0.000205298; 0.352734; -0.000190826; 1.17329; -0.000182121; 1.61632; 1.5709; 3.385742; -2.726505; 0.965044; -0.081502; -0.370241; 0.006006; 0; 1; 7116670; 0; -1; -389.407; 0.0112386; 448.481; 179.957; -0.014206; 89.995
3031; 0.000205298; 0.352845; -0.000190826; 1.17184; -0.000182121; 1.61778; 1.5709; 3.394113; -2.731432; 0.957354; -0.081562; -0.369836; 0.006136; 0; 1; 7116956; 0; -1; -389.403; 0.0112071; 448.84; 179.95; -0.0142072; 89.995
3062; 0.000205298; 0.353082; -0.000190826; 1.1703; -0.000182121; 1.6193; 1.5709; 3.394091; -2.726588; 0.972518; -0.081720; -0.369705; 0.006004; 0; 1; 7117243; 0; -1; -389.422; 0.01117; 449.172; 179.938; -0.0142103; 89.995
3094; 0.000205298; 0.353192; -0.000190826; 1.16851; -0.000182121; 1.6209; 1.5709; 3.381461; -2.733855; 0.972598; -0.081587; -0.369936; 0.006007; 0; 1; 7117530; 0; -1; -389.448; 0.0111312; 449.624; 179.943; -0.0142101; 89.995
3141; 0.000205298; 0.353271; -0.000190826; 1.16678; -0.000182121; 1.62235; 1.5709; 3.402514; -2.731484; 0.964957; -0.081561; -0.369684; 0.006134; 0; 1; 7117816; 0; -1; -389.483; 0.0110945; 450.069; 179.954; -0.0142089; 89.995
3187; 0.000205298; 0.353434; -0.000190826; 1.16514; -0.000182121; 1.62383; 1.5709; 3.377339; -2.726470; 0.949725; -0.081725; -0.370265; 0.006007; 0; 1; 7118105; 0; -1; -389.513; 0.0110569; 450.46; 179.954; -0.0142097; 89.995
3219; 0.000205298; 0.353587; -0.000190826; 1.16357; -0.000182121; 1.62533; 1.5709; 3.385626; -2.731418; 0.987891; -0.081335; -0.369861; 0.006139; 0; 1; 7118390; 0; -1; -389.524; 0.0110214; 450.833; 179.949; -0.014211; 89.9949
3265; 0.000205298; 0.353661; -0.000190826; 1.16179; -0.000182121; 1.62687; 1.5709; 3.394072; -2.731493; 0.972473; -0.081779; -0.369706; 0.006135; 0; 1; 7118677; 0; -1; -389.549; 0.0109836; 451.295; 179.958; -0.0142099; 89.9949
3297; 0.000205298; 0.353782; -0.000190826; 1.16016; -0.000182121; 1.62833; 1.5709; 3.377339; -2.726470; 0.949725; -0.081725; -0.370265; 0.006007; 0; 1; 7118964; 0; -1; -389.571; 0.0109475; 451.697; 179.961; -0.0142099; 89.9949
3344; 0.000205298; 0.354077; -0.000190826; 1.15808; -0.000182121; 1.63044; 1.5709; 3.385700; -2.726566; 0.980163; -0.081718; -0.370110; 0.006005; 0; 1; 7119252; 0; -1; -389.578; 0.0108974; 452.158; 179.942; -0.0142138; 89.9949
3390; 0.000205298; 0.354224; -0.000190826; 1.15655; -0.000182121; 1.63205; 1.5709; 3.389910; -2.724152; 0.972435; -0.081911; -0.370032; 0.006136; 0; 1; 7119539; 0; -1; -389.561; 0.0108629; 452.522; 179.929; -0.0142158; 89.9949
3422; 0.000205298; 0.354403; -0.000190826; 1.15474; -0.000182121; 1.63374; 1.5709; 3.389917; -2.733960; 0.972428; -0.082028; -0.370033; 0.006003; 0; 1; 7119826; 0; -1; -389.58; 0.0108211; 452.952; 179.926; -0.0142169; 89.9949
3469; 0.000205298; 0.354635; -0.000190826; 1.15295; -0.000182121; 1.63532; 1.5709; 3.389917; -2.733960; 0.972428; -0.082028; -0.370033; 0.006003; 0; 1; 7119826; 0; -1; -389.62; 0.0107778; 453.357; 179.925; -0.0142184; 89.9949
3515; 0.000205298; 0.354798; -0.000190826; 1.15106; -0.000182121; 1.63686; 1.5709; 3.385650; -2.726579; 0.987751; -0.081716; -0.369855; 0.006006; 0; 1; 7120113; 0; -1; -389.672; 0.0107342; 453.814; 179.936; -0.0142178; 89.9948
3547; 0.000205298; 0.354887; -0.000190826; 1.14936; -0.000182121; 1.63844; 1.57091; 3.394022; -2.731506; 0.980060; -0.081777; -0.369451; 0.006135; 0; 1; 7120400; 0; -1; -389.676; 0.0106972; 454.249; 179.938; -0.0142181; 89.9942
3594; 0.000205298; 0.354956; -0.000190826; 1.14779; -0.000182121; 1.64001; 1.57091; 3.373118; -2.724078; 0.972478; -0.081911; -0.370590; 0.006139; 0; 1; 7120690; 0; -1; -389.656; 0.0106638; 454.654; 179.933; -0.0142182; 89.9942
3625; 0.000205298; 0.354956; -0.000190826; 1.14779; -0.000182121; 1.64001; 1.57091; 3.385650; -2.726579; 0.987751; -0.081716; -0.369855; 0.006006; 0; 1; 7120982; 0; -1; -389.656; 0.0106638; 454.654; 179.933; -0.0142182; 89.9942
3656; 0.000205298; 0.355098; -0.000190826; 1.14609; -0.000182121; 1.64155; 1.57091; 3.394072; -2.731493; 0.972473; -0.081779; -0.369706; 0.006135; 0; 1; 7121267; 0; -1; -389.673; 0.010625; 455.067; 179.934; -0.0142185; 89.9942
