% %  Exp3, Try1: sc black foot from soils surface 2cm down then forward (in x direction) 15cm then 10cm up
% Created on:05.04.2011 - 11:50
% Control Thread cycle time: 40 msec
% log cycle time: 40 msec
% Joint angles in [rad], force in [N], and torque in [Nm]

% msec; Joint0; Joint1; Joint2; Joint3; Joint4; Joint5; Joint6; Fx; Fy; Fz; Tx; Ty; Tz; FTStatus; RTDSeq; FTSeq; Marker; currentPointID; X; Y; Z; Rx; Ry; Rz
1546; -0.000110545; 0.349134; -0.000190826; 1.22157; 0.000170739; 1.57067; 1.57147; -0.155678; -3.211589; -2.590119; 0.075187; -0.003841; 0.004216; 0; 1; 61946422; 0; -1; -388.741; 0.074451; 436.537; -179.988; 0.00605078; 89.945
1578; -0.000110545; 0.349144; -0.000190826; 1.22144; 0.000170739; 1.57312; 1.57147; -0.239615; -3.206313; -2.589861; 0.075247; -0.006628; 0.004101; 0; 1; 61946709; 0; -1; -388.344; 0.0743333; 436.569; 179.879; 0.00596108; 89.945
1609; -0.000110545; 0.349149; -0.000190826; 1.21975; 0.000170739; 1.57496; 1.57147; -0.151652; -3.218982; -2.544354; 0.075551; -0.003131; 0.004216; 0; 1; 61946998; 0; -1; -388.319; 0.0742957; 437.034; 179.87; 0.00595523; 89.945
1671; -0.000110545; 0.349155; -0.000190826; 1.21692; 0.000170739; 1.57689; 1.57147; -0.080439; -3.212091; -2.499078; 0.075209; -0.000180; 0.004202; 0; 1; 61947291; 0; -1; -388.472; 0.074289; 437.816; 179.922; 0.00598953; 89.945
1703; -0.000110545; 0.349155; -0.000190826; 1.2133; 0.000170739; 1.57943; 1.57147; -0.185246; -3.204179; -2.598048; 0.074614; -0.003349; 0.004221; 0; 1; 61947576; 0; -1; -388.649; 0.0742759; 438.814; 179.983; 0.00603048; 89.9451
1749; -0.000110545; 0.349165; -0.000190826; 1.2102; 0.000170739; 1.58189; 1.57147; -0.172679; -3.221296; -2.582513; 0.075293; -0.003005; 0.004088; 0; 1; 61947864; 0; -1; -388.753; 0.0742503; 439.67; -179.981; 0.0060544; 89.9451
1796; -0.000110545; 0.349171; -0.000190826; 1.20808; 0.000170739; 1.5836; 1.57147; -0.172706; -3.206729; -2.575244; 0.074591; -0.002738; 0.004086; 0; 1; 61948151; 0; -1; -388.817; 0.0742312; 440.252; -179.957; 0.00606972; 89.9451
1828; -0.000110545; 0.349181; -0.000190826; 1.20593; 0.000170739; 1.5854; 1.57147; -0.151686; -3.199484; -2.582969; 0.074457; -0.002102; 0.004082; 0; 1; 61948438; 0; -1; -388.869; 0.0742079; 440.842; -179.938; 0.00608216; 89.9451
1859; -0.000110545; 0.349213; -0.000190826; 1.20342; 0.000170739; 1.58769; 1.57147; -0.168494; -3.204297; -2.575255; 0.074620; -0.002789; 0.004217; 0; 1; 61948724; 0; -1; -388.901; 0.074172; 441.526; -179.927; 0.00608897; 89.9452
1890; -0.000110545; 0.349213; -0.000190826; 1.20342; 0.000170739; 1.58769; 1.57147; -0.176893; -3.213986; -2.582680; 0.074941; -0.002948; 0.004088; 0; 1; 61949010; 0; -1; -388.901; 0.074172; 441.526; -179.927; 0.00608897; 89.9452
